id,tmdb_id,titulo,anio,tipo,genero,director,elenco,estado,nota_personal,nota_imdb,pendiente,favorito,keywords
43,674,Harry Potter y el cáliz de fuego,2005,película,"Aventura, Fantasía",Mike Newell,"Daniel Radcliffe, Rupert Grint, Emma Watson, Brendan Gleeson, Michael Gambon",Released,8,7.8,f,f,"{ghost,""based on novel or book"",""boarding school"",witch,magic,wizard,""based on young adult novel"",mysterious,school,mermaid,maze,sequel,tournament,""dying and death"",""school of witchcraft"",""chosen one"",""world cup"",""black magic"",vision,dragon,""teenage hero"",christmas}"
44,672,Harry Potter y la cámara secreta,2002,película,"Aventura, Fantasía",Chris Columbus,"Daniel Radcliffe, Rupert Grint, Emma Watson, Kenneth Branagh, Toby Jones",Released,7.5,7.7,f,f,"{ghost,witch,magic,wizard,""based on young adult novel"",aftercreditsstinger,diary,""child hero"",""school of witchcraft"",""black magic"",christmas,""flying car"",elves,sword,""giant spider"",""giant snake"",""child driving car""}"
45,104877,Love is in the Air,2020,serie,"Drama, Comedia","","Hande Erçel, Kerem Bürsin, Evrim Doğan, Anıl İlter, Elçin Afacan",Ended,8,8.2,f,f,"{florist,love,romcom,architecture,""office romance"",telenovela,""pretend relationship""}"
46,862557,El viaje de Rickey Hill,2023,película,"Historia, Drama",Jeff Celentano,"Colin Ford, Dennis Quaid, Joelle Carter, Scott Glenn, Siena Bjornerud",Released,7,7.7,f,f,"{""christian faith""}"
47,16219,Gladiator,2000,película,"Acción, Drama, Aventura",Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed, Richard Harris",Released,9.3,8.2,f,t,"{sports,""chicago, illinois"",boxer,tournament,boxing,fistfight,""racial tension""}"
48,558449,Gladiator II,2024,película,"Acción, Aventura, Drama",Ridley Scott,"Paul Mescal, Denzel Washington, Pedro Pascal, Connie Nielsen, Joseph Quinn",Released,8,6.7,f,f,"{epic,""sword and sandal"",sequel,gladiator,""roman empire"",""ancient rome"",""evil tyrant"",""sword fighting"",""second part"",arrogant}"
49,1954,El efecto mariposa,2004,película,"Ciencia ficción, Suspense","Eric Bress, J. Mackye Gruber","Ashton Kutcher, Amy Smart, Melora Walters, Elden Henson, William Lee Scott",Released,8.5,7.6,f,f,"{love,childhood,prison,""time travel"",flashback,trauma,""child abuse"",""memory loss"",diary,""mind control"",amnesia,""chaos theory"",blackout,bully,psychiatrist,therapy}"
50,13363,El hombre de la Tierra,2007,película,"Ciencia ficción, Drama",Richard Schenkman,"David Lee Smith, Tony Todd, John Billingsley, Ellen Crawford, Annika Peterson",Released,8,7.6,f,f,"{survival,professor,prehistory,bible,religion,immortality,birthday,legend,philosophy,psychology,time,anthropology,memory,church,cavemen,""dialog driven""}"
51,137113,Al filo del mañana,2014,película,"Acción, Ciencia ficción",Doug Liman,"Tom Cruise, Emily Blunt, Bill Paxton, Brendan Gleeson, Noah Taylor",Released,7.8,7.6,f,f,"{complex,alien,""based on novel or book"",admiring,dystopia,audacious,hopeful,intimate,romantic,anxious,soldier,intense,frantic,thoughtful,sentimental,adoring,empathetic,sincere,affectation,""war hero"",war,""deja vu"",restart,""military officer"",training,""time loop"",""alien invasion"",exoskeleton,somber,soldiers,understated,commanding,defiant,dignified,earnest,2020s}"
52,299536,Vengadores: Infinity War,2018,película,"Aventura, Acción, Ciencia ficción","Joe Russo, Anthony Russo","Robert Downey Jr., Chris Evans, Chris Hemsworth, Josh Brolin, Mark Ruffalo",Released,9,8.2,f,t,"{superhero,""based on comic"",""superhero team"",""super power"",magic,""marvel cinematic universe (mcu)"",space,battlefield,aftercreditsstinger,sacrifice,genocide,""magical object"",cosmic}"
